Family,Common Name,Scientific name,Notes
Hawks,Golden Eagle,Aquila chrysaetos,"UnCommon. Permanent resident in mountains and dry canyons, wanders to other open habitats in winter."
Hawks,Northern Harrier,Circus hudsonius,UnCommon. Permanent resident in open country.
Hawks,Sharp-shinned Hawk,Accipiter striatus,"UnCommon. Summer resident in mountain forest, more often seen Winter visitor in wooded lowlands."
Hawks,Cooper's Hawk,Astur cooperii,UnCommon. Permanent resident in mixed and broadleaf forests.
Hawks,Northern Goshawk,Astur atricapillus,Rare. Permanent resident in mature conifer forest.
Hawks,Bald Eagle,Haliaeetus leucocephalus,Common. Permanent resident on fresh and salt water.
Hawks,Red-shouldered Hawk,Buteo lineatus,Rare. Permanent resident in woodland southwest.
Hawks,Broad-winged Hawk,Buteo platypterus,"Rare. Migrant (spring & fall), spring on outer coast, fall in Cascades."
Hawks,Swainson's Hawk,Buteo swainsoni,UnCommon. Summer resident in open country east of Cascades.
Hawks,Red-tailed Hawk,Buteo jamaicensis,"Common. Permanent resident in all habitats, numbers augmented in winter."
Hawks,Rough-legged Hawk,Buteo lagopus,UnCommon. to locally Common. Winter visitor in open country. Breeds in Arctic.
Hawks,Ferruginous Hawk,Buteo regalis,"Rare. and local Summer resident in southeast quarter of state, mostly in canyons."
Barn Owls,American Barn Owl,Tyto furcata,UnCommon. Permanent resident in any habitat that provides nest sites.
Typical Owls,Flammulated Owl,Psiloscops flammeolus,UnCommon. Summer resident in dry conifer forest east.
Typical Owls,Western Screech-Owl,Megascops kennicottii,UnCommon. Permanent resident in forest.
Typical Owls,Great Horned Owl,Bubo virginianus,Common. Permanent resident in all habitats.
Typical Owls,Snowy Owl,Bubo scandiacus,UnCommon. to rare (erratic) Winter visitor in open country. Breeds in Arctic.
Typical Owls,Northern Hawk Owl,Surnia ulula,"Rare. Winter visitor, usually associated with open woodland; has bred in Okanogan County."
Typical Owls,Northern Pygmy-Owl,Glaucidium gnoma,UnCommon. Permanent resident in conifer forest.
Typical Owls,Burrowing Owl,Athene cunicularia,UnCommon. and declining Summer resident in sagebrush steppe east.
Typical Owls,Spotted Owl,Strix occidentalis,Rare. and still declining Permanent resident of old-growth conifer forest from east side of Cascades to coast.
Typical Owls,Barred Owl,Strix varia,"Fairly Common. Permanent resident in all wooded habitats west, still local east."
Typical Owls,Great Gray Owl,Strix nebulosa,"Rare. and local Permanent resident in open conifer forest; breeds east, more widespread in winter."
Typical Owls,Long-eared Owl,Asio otus,"UnCommon. Permanent resident (more local in winter) in forest, especially riparian woodland; much less common west."
Typical Owls,Short-eared Owl,Asio flammeus,"UnCommon. Permanent resident in open country, increasing in winter west."
Typical Owls,Boreal Owl,Aegolius funereus,Rare. Permanent resident in high-elevation conifer forest.
Typical Owls,Northern Saw-whet Owl,Aegolius acadicus,Common. but rarely seen Permanent resident in forest.
Kingfishers,Belted Kingfisher,Megaceryle alcyon,"UnCommon. Permanent resident on fresh and salt water, more widespread in winter."
Woodpeckers,Lewis's Woodpecker,Melanerpes lewis,UnCommon. Summer resident (winters locally) in ponderosa pineland and oak and riparian woodland east of Cascades; rare Migrant (spring & fall) west.
Woodpeckers,Acorn Woodpecker,Melanerpes formicivorus,Rare. Permanent resident in oak woodland in southern Klickitat County.
Woodpeckers,Williamson's Sapsucker,Sphyrapicus thyroideus,UnCommon. Summer resident in mature dry conifer forest east of Cascades crest; rare Migrant (spring & fall) west.
Woodpeckers,Red-naped Sapsucker,Sphyrapicus nuchalis,Common. Summer resident in forest east of Cascades crest; rare Migrant (spring & fall) west.
Woodpeckers,Red-breasted Sapsucker,Sphyrapicus ruber,"UnCommon. Permanent resident in mature forest from Cascades west, local on east side of Cascades."
Woodpeckers,American Three-toed Woodpecker,Picoides dorsalis,UnCommon. Permanent resident in high-elevation conifer forest east of Cascades crest.
Woodpeckers,Black-backed Woodpecker,Picoides arcticus,UnCommon. Permanent resident in conifer forest east of Cascades crest; mostly in burns.
Woodpeckers,Downy Woodpecker,Dryobates pubescens,Common. Permanent resident in broadleaf and mixed forest.
Woodpeckers,Hairy Woodpecker,Dryobates villosus,Common. Permanent resident in conifer and mixed forest.
Woodpeckers,White-headed Woodpecker,Dryobates albolarvatus,UnCommon. Permanent resident in ponderosa pineland from Cascades east.
Woodpeckers,Pileated Woodpecker,Dryocopus pileatus,"UnCommon. Permanent resident in mature forest, increasingly in suburbs."
Woodpeckers,Northern Flicker,Colaptes auratus,Common. Permanent resident in all wooded habitats.
Falcons,American Kestrel,Falco sparverius,"Common. Summer resident and unCommon. Winter visitor in open country and woodland east of Cascades, much less common west; also Summer resident above treeline in mountains."
Falcons,Merlin,Falco columbarius,"UnCommon. Winter visitor, especially coast, mostly Migrant (spring & fall) east; increasingly breeding in forests and cities west."
Falcons,Gyrfalcon,Falco rusticolus,Rare. Winter visitor in open country. Breeds in Arctic.
Falcons,Peregrine Falcon,Falco peregrinus,"UnCommon. Permanent resident where nesting cliffs or tall humanmade structures available in Cascades and west; unCommon. Winter visitor elsewhere, especially coastal areas; slightly more common in migration."
Falcons,Prairie Falcon,Falco mexicanus,UnCommon. Permanent resident (less common in winter) in canyons east of Cascades; rarely winters west.
Tyrant Flycatchers,Olive-sided Flycatcher,Contopus cooperi,UnCommon. Summer resident in forest.
Tyrant Flycatchers,Western Wood-Pewee,Contopus sordidulus,Common. Summer resident (less common west) in forest and woodland.
Tyrant Flycatchers,Willow Flycatcher,Empidonax traillii,"Common. Summer resident in broadleaf forest and shrubland, usually near water."
Tyrant Flycatchers,Least Flycatcher,Empidonax minimus,"Rare. Summer resident in broadleaf forest, mostly northeast."
Tyrant Flycatchers,Hammond's Flycatcher,Empidonax hammondii,Common. Summer resident in mature forest.
Tyrant Flycatchers,Gray Flycatcher,Empidonax wrightii,Common. Summer resident in open ponderosa pineland east of Cascades crest.
Tyrant Flycatchers,Dusky Flycatcher,Empidonax oberholseri,"Common. Summer resident in dry conifer forest east of Cascades crest, rare Migrant (spring & fall) west."
Tyrant Flycatchers,Western Flycatcher,Empidonax difficilis,Common. Summer resident in mature forest.
Tyrant Flycatchers,Black Phoebe,Sayornis nigricans,"Rare. Permanent resident, mostly west, with local breeding."
Tyrant Flycatchers,Say's Phoebe,Sayornis saya,Common. Summer resident in open country east of Cascades.
Tyrant Flycatchers,Ash-throated Flycatcher,Myiarchus cinerascens,"UnCommon. Summer resident in riparian and oak woodland in Kittitas, Yakima and Klickitat counties."
Tyrant Flycatchers,Tropical Kingbird,Tyrannus melancholicus,"Rare. late fall Migrant (spring & fall), mostly to coastal areas. Breeds in American tropics."
Tyrant Flycatchers,Western Kingbird,Tyrannus verticalis,Common. Summer resident in open country east of Cascades; very local Summer resident west.
Tyrant Flycatchers,Eastern Kingbird,Tyrannus tyrannus,"Common. Summer resident in open country, usually near water, east of Cascades; very local Summer resident west."
Vireos,Hutton's Vireo,Vireo huttoni,"UnCommon. Permanent resident in broadleaf and mixed forest, mostly near coast."
Vireos,Cassin's Vireo,Vireo cassinii,Common. Summer resident in conifer forest.
Vireos,Warbling Vireo,Vireo gilvus,Common. Summer resident in low broadleaf forest.
Vireos,Red-eyed Vireo,Vireo olivaceus,Common. Summer resident in mature riparian woodland.
Shrikes,Loggerhead Shrike,Lanius ludovicianus,UnCommon. Summer resident and rare Winter visitor in sagebrush steppe east of Cascades; rare Migrant (spring & fall) west.
Shrikes,Northern Shrike,Lanius borealis,"UnCommon. and declining Winter visitor in open country, more common east. Breeds in boreal forest."
Crows & Jays,Canada Jay,Perisoreus canadensis,"Common. Permanent resident in conifer forest, mostly in mountains."
Crows & Jays,Steller's Jay,Cyanocitta stelleri,Common. Permanent resident in conifer forest.
Crows & Jays,Blue Jay,Cyanocitta cristata,"Rare. Winter visitor, usually at bird feeders."
Crows & Jays,California Scrub-Jay,Aphelocoma californica,"Common. Permanent resident in oak woodland and urban/suburban areas southwest, less Common. but widespread north to Canadian border; slowly expanding range on east side of Cascades."
Crows & Jays,Black-billed Magpie,Pica hudsonia,Common. Permanent resident in riparian woodland and open country east of Cascades.
Crows & Jays,Clark's Nutcracker,Nucifraga columbiana,"Common. Permanent resident in alpine zone east of Cascades crest, less common in ponderosa pineland."
Crows & Jays,American Crow,Corvus brachyrhynchos,Common. Permanent resident in all wooded and urban habitats.
Crows & Jays,Common Raven,Corvus corax,"Common. Permanent resident on coast, in mountains and in open country east of Cascades, increasing west."
Tits,Black-capped Chickadee,Poecile atricapillus,Common. Permanent resident in broadleaf forest; scarce on Olympic Peninsula
Tits,Mountain Chickadee,Poecile gambeli,Common. Permanent resident in conifer forest east of Cascades crest.
Tits,Chestnut-backed Chickadee,Poecile rufescens,Common. Permanent resident in wet conifer forest in mountains and western lowlands.
Tits,Boreal Chickadee,Poecile hudsonicus,UnCommon. Permanent resident in high-elevation conifer forest along northern border east of Cascades crest.
Larks,Horned Lark,Eremophila alpestris,Common. Summer resident and Abundant. Winter visitor in open country east of Cascades; unCommon. and local Permanent resident on prairies and coastal dunes west; unCommon. Summer visitor in alpine zone.
Swallows,Bank Swallow,Riparia riparia,Locally Common. Summer resident east of Cascades where sand banks available for colonial nesting; very local breeder and rare Migrant (spring & fall) west.
Swallows,Tree Swallow,Tachycineta bicolor,Common. Summer resident in wooded habitats near water.
Swallows,Violet-green Swallow,Tachycineta thalassina,"Common. Summer resident in forest, canyon country and cities."
Swallows,Purple Martin,Progne subis,"UnCommon. Summer resident west, mostly around Puget Sound."
Swallows,Northern Rough-winged Swallow,Stelgidopteryx serripennis,"Common. Summer resident, usually near fresh or salt water where earth banks available for nesting."
Swallows,Barn Swallow,Hirundo rustica,Common. Summer resident where bridges or buildings available for nesting.
Swallows,Cliff Swallow,Petrochelidon pyrrhonota,"Common. Summer resident where cliffs, bridges or buildings available for colonial nesting."
Long-Tailed Tits,Bushtit,Psaltriparus minimus,"Common. Permanent resident in broadleaf forest and shrubland west of Cascades, also local in riparian woodland in Kittitas and Yakima counties; colonizing Columbia Basin."
Kinglets,Golden-crowned Kinglet,Regulus satrapa,"Common. Permanent resident in conifer forest, more widespread in winter."
Kinglets,Ruby-crowned Kinglet,Regulus calendula,Common. Winter visitor in wooded habitats of lowlands; Common. Summer resident in broadleaf thickets in conifer forest east of Cascades crest.
Nuthatches,White-breasted Nuthatch,Sitta carolinensis,Common. Permanent resident in riparian woodland and ponderosa pineland east of Cascades crest; unCommon. Permanent resident in oak woodland south of Puget Sound.
Nuthatches,Pygmy Nuthatch,Sitta pygmaea,Locally Common. Permanent resident in ponderosa pineland east of Cascades crest.
Nuthatches,Red-breasted Nuthatch,Sitta canadensis,"Common. Permanent resident in conifer forest, more widespread in winter."
Creepers,Brown Creeper,Certhia americana,"Common. Permanent resident in conifer forest, more widespread in winter."
Gnatcatchers,Blue-gray Gnatcatcher,Polioptila caerulea,"Rare. visitor to shrubby thickets, mostly west in fall. Breeds to the south."
Wrens,Rock Wren,Salpinctes obsoletus,"Common. Summer resident in rocky areas, mostly in open country, east of Cascades."
Wrens,Canyon Wren,Catherpes mexicanus,"UnCommon. Permanent resident in rocky canyons, both open and wooded, east of Cascades."
Wrens,Northern House Wren,Troglodytes aedon,"Common. Summer resident in riparian woodland east of Cascades; locally Common. Summer resident, mostly in oak woodland, west."
Wrens,Pacific Wren,Troglodytes pacificus,"Common. Permanent resident in conifer forest, more widespread in winter."
Wrens,Marsh Wren,Cistothorus palustris,"Common. Permanent resident (east of Cascades, most migrate south) in freshwater marshes."
Wrens,Bewick's Wren,Thryomanes bewickii,"Common. Permanent resident in broadleaf forest and shrubland west of Cascades, rapidly expanding up Columbia River drainage in east."
Dippers,American Dipper,Cinclus mexicanus,UnCommon. Permanent resident on wooded rivers and streams.
Starlings,European Starling,Sturnus vulgaris,Common. Permanent resident in all habitats that provide nesting holes (introduced).
Mockingbirds,Gray Catbird,Dumetella carolinensis,Common. Summer resident in riparian woodland east of Cascades.
Mockingbirds,Sage Thrasher,Oreoscoptes montanus,Common. Summer resident in sagebrush steppe east of Cascades; rare Migrant (spring & fall) west.
Mockingbirds,Northern Mockingbird,Mimus polyglottos,"Rare. Permanent resident, mostly vagrant individuals in woodland or urban areas, but has bred in sagebrush in Grant County."
Thrushes,Western Bluebird,Sialia mexicana,"Locally Common. Summer resident in open woodland east of Cascades crest; even more local, mostly in oak woodland, west."
Thrushes,Mountain Bluebird,Sialia currucoides,"Common. Summer resident in alpine zone, open woodland and open country east of Cascades crest; rare Migrant (spring & fall) west."
Thrushes,Townsend's Solitaire,Myadestes townsendi,"Common. Summer resident in mountain conifer forest, unCommon. Migrant (spring & fall) elsewhere; unCommon. Winter visitor in lowlands, associated with junipers."
Thrushes,Varied Thrush,Ixoreus naevius,"Common. Summer resident in mountain and less disturbed conifer forest; Common. Winter visitor in lowland forest, local east."
Thrushes,Veery,Catharus fuscescens,Common. Summer resident in broadleaf forest east of Cascades crest.
Thrushes,Swainson's Thrush,Catharus ustulatus,Common. Summer resident in forest (only in wet conifer forest east of Cascades crest).
Thrushes,Hermit Thrush,Catharus guttatus,"Common. Summer resident in mountain conifer forest, unCommon. Migrant (spring & fall) elsewhere; unCommon. Winter visitor in forest near coast."
Thrushes,American Robin,Turdus migratorius,Common. Summer resident in all habitats with trees and shrubs; withdraws from mountains and becomes abundant in lowlands in winter.
Waxwings,Bohemian Waxwing,Bombycilla garrulus,"Common. Winter visitor east of Cascades, mostly in cities; irregular and unCommon. Winter visitor west; has bred in conifer forest along northern border."
Waxwings,Cedar Waxwing,Bombycilla cedrorum,"Common. Summer resident, much less Common. Winter visitor, in wooded habitats."
Sparrows,House Sparrow,Passer domesticus,"Common. Permanent resident in settled areas, more in farmland east (introduced)."
Wagtails,American Pipit,Anthus rubescens,Common. Migrant (spring & fall) in open country; Common. Summer resident in wet meadows in mountains; unCommon. Winter visitor in western lowlands.
Finches,Evening Grosbeak,Coccothraustes vespertinus,"Common. but declining Permanent resident in forest, irregular in movements."
Finches,Pine Grosbeak,Pinicola enucleator,"UnCommon. Permanent resident in mountain conifer forest, wandering to lowlands in winter."
Finches,Gray-crowned Rosy-Finch,Leucosticte tephrocotis,UnCommon. Summer resident in alpine zone in mountains; locally Common. Winter visitor in open country with canyons east.
Finches,House Finch,Haemorhous mexicanus,"Common. Permanent resident in riparian woodland and settled areas, also nearby open country in winter."
Finches,Purple Finch,Haemorhous purpureus,Common. Permanent resident in forest from east slope of Cascades west.
Finches,Cassin's Finch,Haemorhous cassinii,Common. Summer resident (few remain in winter) in conifer forest east of Cascades crest.
Finches,Redpoll,Acanthis flammea,"UnCommon. Winter visitor in open country east, rarely west. Breeds in Arctic and Subarctic."
Finches,Red Crossbill,Loxia curvirostra,Common. Permanent resident in conifer forest; numbers fluctuate from year to year.
Finches,Pine Siskin,Spinus pinus,"Common. Permanent resident in conifer and mixed forest, more widespread in winter but with irregular population cycles."
Finches,Lesser Goldfinch,Spinus psaltria,"UnCommon. Permanent resident in oak woodland in Klickitat County, now extending range to northwest into Puget Sound lowlands and east to Blue Mountains."
Finches,American Goldfinch,Spinus tristis,"Common. Summer resident in broadleaf and riparian woodland, widespread but less common in winter."
Longspurs And Snow Buntings,Lapland Longspur,Calcarius lapponicus,UnCommon. Migrant (spring & fall) and Winter visitor in open country. Breeds in Arctic.
Longspurs And Snow Buntings,Snow Bunting,Plectrophenax nivalis,"UnCommon. and local Winter visitor in open country, more common east. Breeds in Arctic."
American Sparrows,Grasshopper Sparrow,Ammodramus savannarum,UnCommon. Summer resident in dry grassland and open sagebrush steppe east of Cascades.
American Sparrows,Chipping Sparrow,Spizella passerina,"Common. Summer resident in open conifer forest east of Cascades crest, locally Common. Summer resident in open woodland in San Juan County and south of Puget Sound west."
American Sparrows,Clay-colored Sparrow,Spizella pallida,Rare. Summer resident in open woodland in northeast corner; has bred in Okanogan and Spokane counties; rare Winter visitor west.
American Sparrows,Brewer's Sparrow,Spizella breweri,Common. Summer resident in sagebrush steppe east of Cascades.
American Sparrows,Black-throated Sparrow,Amphispiza bilineata,Rare. and very local Summer resident in sagebrush steppe.
American Sparrows,Lark Sparrow,Chondestes grammacus,Common. Summer resident in sagebrush steppe and unCommon. Summer resident in open conifer forest east of Cascades; rare Migrant (spring & fall) west.
American Sparrows,American Tree Sparrow,Spizelloides arborea,"UnCommon. Winter visitor in open country east, less common west. Breeds in Arctic-boreal forest transition."
American Sparrows,Fox Sparrow,Passerella iliaca,"Common. Winter visitor in shrublands west of Cascades, much less Common. east; locally Common. Summer resident in shrubby clearings in mountains east of Cascades crest and on tip of Olympic Peninsula."
American Sparrows,Dark-eyed Junco,Junco hyemalis,"Common. Permanent resident in conifer forest, widespread in most habitats in winter."
American Sparrows,White-crowned Sparrow,Zonotrichia leucophrys,"Common. Summer resident in shrublands from east side of Cascades west to coast (coastal subspecies); Common. Winter visitor and abundant Migrant (spring & fall) in lowlands throughout, has bred in North Cascades (subarctic subspecies); unCommon. Summer resident in high mountains in north Cascades and at eastern edge of state (Rocky Mountain subspecies)."
American Sparrows,Golden-crowned Sparrow,Zonotrichia coronata,"Common. Migrant (spring & fall) and locally Common. Winter visitor in shrublands from coast to east side of Cascades, rarer still farther east; has bred in North Cascades."
American Sparrows,Harris's Sparrow,Zonotrichia querula,Rare. Winter visitor in shrublands.
American Sparrows,White-throated Sparrow,Zonotrichia albicollis,"Rare. but increasing Winter visitor in forest and shrublands, mostly west."
American Sparrows,Sagebrush Sparrow,Artemisiospiza nevadensis,UnCommon. Summer resident in sagebrush steppe of Columbia Basin; rare Migrant (spring & fall) west.
American Sparrows,Vesper Sparrow,Pooecetes gramineus,"Common. Summer resident in grassland and shrub steppe east of Cascades; local, unCommon. and declining Summer resident in prairies west."
American Sparrows,Savannah Sparrow,Passerculus sandwichensis,Common. Summer resident and Abundant. Migrant (spring & fall) in moist grassland and farmland; unCommon. Winter visitor in farmland west.
American Sparrows,Song Sparrow,Melospiza melodia,Common. Permanent resident in shrublands (usually associated with water east of Cascades crest).
American Sparrows,Lincoln's Sparrow,Melospiza lincolnii,Common. Migrant (spring & fall) and unCommon. Winter visitor in shrublands west of Cascades; locally Common. Summer resident in shrubby wetlands in mountains.
American Sparrows,Swamp Sparrow,Melospiza georgiana,"Rare. Winter visitor in shrublands, mostly near coast."
American Sparrows,Green-tailed Towhee,Pipilo chlorurus,Rare. Summer resident in shrubs in open conifer forest on south slope of Blue Mountains.
American Sparrows,Spotted Towhee,Pipilo maculatus,Common. Permanent resident west and Summer resident east in shrublands.
Yellow-Breasted Chat,Yellow-breasted Chat,Icteria virens,UnCommon. Summer resident in shrubby riparian woodland east of Cascades; has bred west.
Troupials,Yellow-headed Blackbird,Xanthocephalus xanthocephalus,"Common. Summer resident in marshes east of Cascades, rare Winter visitor at feedlots; rare Migrant (spring & fall), Occasional Summer resident, west."
Troupials,Bobolink,Dolichonyx oryzivorus,Local and unCommon. Summer resident in hay meadows east of Cascades; rare Migrant (spring & fall) west.
Troupials,Western Meadowlark,Sturnella neglecta,"Common. Summer resident (few winter) in open country east; unCommon. and local Permanent resident in open country west, more in winter."
Troupials,Bullock's Oriole,Icterus bullockii,"Common. Summer resident in riparian woodland, less common west."
Troupials,Red-winged Blackbird,Agelaius phoeniceus,Common. Summer resident in shrubby wetlands and marshes; locally Common. Winter visitor in farmland.
Troupials,Tricolored Blackbird,Agelaius tricolor,"Very local Summer resident in Columbia Basin marshes, rare Winter visitor southwest."
Troupials,Brown-headed Cowbird,Molothrus ater,Common. Summer resident in all habitats; local and unCommon. Winter visitor in farmland.
Troupials,Rusty Blackbird,Euphagus carolinus,Rare. Winter visitor.
Troupials,Brewer's Blackbird,Euphagus cyanocephalus,"Common. Summer resident in settled and open country east, much more local west; locally Common. Winter visitor in farmland and cities."
Wood Warblers,Northern Waterthrush,Parkesia noveboracensis,UnCommon. Summer resident in wooded wetlands from Okanogan County east; rare Migrant (spring & fall) and occasional Winter visitor elsewhere.
Wood Warblers,Black-and-white Warbler,Mniotilta varia,Rare. Migrant (spring & fall).
Wood Warblers,Tennessee Warbler,Oreothlypis peregrina,"Rare. Migrant (spring & fall), even rarer Winter visitor."
Wood Warblers,Orange-crowned Warbler,Oreothlypis celata,"Common. Summer resident in open broadleaf forest and shrubland west, much more local east in mountain forest; unCommon. Winter visitor in western lowlands."
Wood Warblers,Nashville Warbler,Oreothlypis ruficapilla,Common. Summer resident in broadleaf thickets in dry conifer forest east of Cascades crest; rare Migrant (spring & fall) west.
Wood Warblers,MacGillivray's Warbler,Geothlypis tolmiei,"Common. Summer resident in riparian thickets east of Cascades, more local in shrubland, especially revegetating clearings, west."
Wood Warblers,Common Yellowthroat,Geothlypis trichas,Common. Summer resident in shrubby wetlands (very local east).
Wood Warblers,American Redstart,Setophaga ruticilla,"UnCommon. Summer resident in broadleaf forest east of Cascades (more common to north), very local west."
Wood Warblers,Yellow Warbler,Setophaga petechia,Common. Summer resident in broadleaf and riparian woodland.
Wood Warblers,Chestnut-sided Warbler,Setophaga pensylvanica,Rare. Migrant (spring & fall).
Wood Warblers,Blackpoll Warbler,Setophaga striata,Rare. Migrant (spring & fall).
Wood Warblers,Palm Warbler,Setophaga palmarum,"Rare. Winter visitor, mostly on outer coast."
Wood Warblers,Yellow-rumped Warbler,Setophaga coronata,Common. Summer resident in mountain conifer forest; Common. Migrant (spring & fall) and locally Common. Winter visitor in lowland wooded habitats.
Wood Warblers,Black-throated Gray Warbler,Setophaga nigrescens,Common. Summer resident in broadleaf and mixed forest west of Cascades; local on east slope.
Wood Warblers,Townsend's Warbler,Setophaga townsendi,Common. Summer resident in mountain conifer forest; unCommon. Migrant (spring & fall) and Winter visitor in forest near coast. Freely hybridizes with Hermit Warbler.
Wood Warblers,Hermit Warbler,Setophaga occidentalis,"Common. Summer resident in conifer forest in south Cascades, Willapa Hills and east side of Olympics. Freely hybridizes with Townsend's Warbler."
Wood Warblers,Wilson's Warbler,Cardellina pusilla,"Common. Summer resident in forest, more local east."
Cardinals And Allies,Western Tanager,Piranga ludoviciana,Common. Summer resident in conifer and mixed forest.
Cardinals And Allies,Rose-breasted Grosbeak,Pheucticus ludovicianus,"Rare. Migrant (spring & fall), occasional Winter visitor."
Cardinals And Allies,Black-headed Grosbeak,Pheucticus melanocephalus,Common. Summer resident in broadleaf forest.
Cardinals And Allies,Lazuli Bunting,Passerina amoena,"Common. Summer resident on shrubby hillsides east of Cascades crest, very local west."